series_id,detector,operator,r,r_over_m,position,a,n_interior,n_boundary,n_untouched,dS_interior_mean,dS_boundary_mean,max_before,max_after,p99_normal,false_alarm,false_alarm_before,untouched_max_abs_delta,untouched_frac_bitexact,interior_min,interior_max,interior_n_unique,inc_full_max_abs_diff,inc_full_max_abs_diff_sq,inc_full_D_at_worst,t_incremental_s,t_full_s,t_operator_s,fill_min,fill_max,cr_j,cr_dist
66,R,Zero,26,1,1,9370,1,50,9922,0.7471510984396426,0.4857764330629065,0.13067758461326417,0.8493458119830634,0.26374787319419757,True,False,5.564992910933597e-15,0.9580729691594436,0.8493458119830634,0.8493458119830634,1,1.7319479184152442e-14,1.2684298056342413e-14,0.36482162392873657,0.004684332998294849,0.10505049999483163,5.158299609320238e-05,0.04073601280516216,0.04073601280516216,,
66,Z,SampleMean,26,1,1,9370,1,50,9922,4.771430272638747,3.04877344747558,0.44849385005564857,5.996167336506038,0.8045214677902984,True,False,1.413036354591668e-13,0.9549485990727676,5.0990195135927845,5.0990195135927845,1,1.413036354591668e-13,2.7711166694643907e-13,0.2451286941066401,0.005705250005121343,0.04267841699765995,5.749999399995431e-05,0.04073601280516217,0.04073601280516217,,
66,R,SampleMean,26,1,1,9370,1,50,9922,0.7471510984396423,0.48577643306290647,0.13067758461326417,0.8493458119830632,0.26374787319419757,True,False,5.564992910933597e-15,0.9595847611368675,0.8493458119830632,0.8493458119830632,1,1.73749903353837e-14,1.2684298056342413e-14,0.3648216239287367,0.004616624995833263,0.10491916699538706,5.749999399995431e-05,0.04073601280516217,0.04073601280516217,,
66,Z,OutOfDistHigh,26,1,1,9370,1,50,9922,4.771430272638747,3.151472436084897,0.44849385005564857,6.106719915583617,0.8045214677902984,True,False,3.5168257195294927e-12,0.9469864946583351,5.0990195135927845,5.0990195135927845,1,3.5168257195294927e-12,1.951327988081175e-12,0.22653810762104504,0.005739874999562744,0.04363112499413546,5.645799683406949e-05,34.92041229332137,34.92041229332137,,
66,R,OutOfDistHigh,26,1,1,9370,1,50,9922,177.35251917187563,118.66743711928915,0.13067758461326417,177.45471388541904,0.26374787319419757,True,False,1.223239148862021e-10,0.9475912114493046,177.45471388541904,177.45471388541904,1,1.223239148862021e-10,2.1002980604700738e-11,0.08481380727594252,0.004485457997361664,0.11127566700452007,5.645799683406949e-05,34.92041229332137,34.92041229332137,,
66,Z,Inverse,26,1,1,9370,1,50,9922,2.3487485732715347,3.708539682268407,0.44849385005564857,5.7129590288703875,0.8045214677902984,True,False,1.277589145587399e-13,0.9563596049183632,2.6763378142255725,2.6763378142255725,1,1.277589145587399e-13,9.592326932761353e-14,0.22592062895126092,0.005667500001436565,0.042465000005904585,5.479099490912631e-05,0.1361018528051622,0.6635782528051621,,
66,R,Inverse,26,1,1,9370,1,50,9922,1.394774619129864,1.0576693111074247,0.13067758461326417,1.658229831799133,0.26374787319419757,True,False,2.295386103412511e-14,0.9483975005039307,1.496969332673285,1.496969332673285,1,2.295386103412511e-14,6.217248937900877e-15,0.06771525925711729,0.004402958002174273,0.10450312499597203,5.479099490912631e-05,0.1361018528051622,0.6635782528051621,,
66,Z,UniformNoise100,26,1,1,9370,1,50,9922,4.992955423640141,3.4375256331329247,0.44849385005564857,5.625241866643726,0.8045214677902984,True,False,1.1851630787873546e-13,0.9613989115097763,5.320544664594179,5.320544664594179,1,1.1851630787873546e-13,3.019806626980426e-13,0.2679649963050073,0.005732500001613516,0.04247020799812162,0.00018279199866810814,-0.14418902949072743,0.22922316193599784,,
66,R,UniformNoise100,26,1,1,9370,1,50,9922,0.7041369959084103,0.5458534271568849,0.13067758461326417,0.9235409433890777,0.26374787319419757,True,False,6.300515664747763e-15,0.9509171537996371,0.8063317094518312,0.8063317094518312,1,1.3877787807814457e-14,9.103828801926284e-15,0.24002939150939948,0.004586541996104643,0.1077467909999541,0.00018279199866810814,-0.14418902949072743,0.22922316193599784,,
66,Z,LinearInterpolation,26,1,1,9370,1,50,9922,2.5937407239077603,2.444973807285289,0.44849385005564857,5.357539010525521,0.8045214677902984,True,False,1.277589145587399e-13,0.953940737754485,2.921329964861798,2.921329964861798,1,1.277589145587399e-13,3.9257486150745535e-13,0.22592062895126092,0.005903624994971324,0.045914582995465025,0.000334249998559244,-0.25902725851851854,-0.18669072148148147,,
66,R,LinearInterpolation,26,1,1,9370,1,50,9922,1.2445616507022372,0.6738213519451922,0.13067758461326417,1.3778712348451678,0.26374787319419757,True,False,1.7208456881689926e-14,0.9535375932271719,1.3467563642456581,1.3467563642456581,1,3.2529534621517087e-14,1.2434497875801753e-14,0.0819409756846936,0.004716124996775761,0.11068449999584118,0.000334249998559244,-0.25902725851851854,-0.18669072148148147,,
66,Z,NearestNeighborWindow,26,1,1,9370,1,50,9922,0.40444768217135707,3.6205429283013832,0.44849385005564857,6.0722640565349435,0.8045214677902984,True,False,1.101063684671999e-13,0.9580729691594436,0.7320369231253948,0.7320369231253948,1,1.101063684671999e-13,2.042810365310288e-13,0.20973487255166506,0.00561300000117626,0.041571292000298854,5.3625000873580575e-05,-0.27317266,0.34668714,,
66,R,NearestNeighborWindow,26,1,1,9370,1,50,9922,0.05852857202414277,0.6770762203370039,0.13067758461326417,1.1567654705152832,0.26374787319419757,True,False,1.5668022435022522e-14,0.9505140092723241,0.16072328556756363,0.16072328556756363,1,1.5668022435022522e-14,1.4765966227514582e-14,0.07089313152681383,0.004464917001314461,0.10788325000612531,5.3625000873580575e-05,-0.27317266,0.34668714,,
