num,n,train_end,w,a,b,L,L_over_w,n_windows,max_abs_delta,t_patch_s,identity_bitexact,identity_ai_zero,scale_ok,unperturbed_vs_gate1_max_abs
74,36001,4000,188,25456,25550,94,0.5,281,7.149836278586008e-14,0.008413542003836483,True,True,True,3.668176873361517e-13
74,36001,4000,188,21404,21451,47,0.25,234,1.2523315717771766e-13,0.005786167006590404,True,True,True,1.6431300764452317e-13
74,36001,4000,188,5866,5913,47,0.25,234,2.842170943040401e-14,0.007043667006655596,True,True,True,4.3076653355456074e-14
74,36001,4000,188,29382,29476,94,0.5,281,1.2434497875801753e-14,0.006697999997413717,True,True,True,4.618527782440651e-14
74,36001,4000,188,7707,7895,188,1.0,375,1.9539925233402755e-14,0.007013833004748449,True,True,True,8.038014698286133e-14
74,36001,4000,188,16822,16869,47,0.25,234,3.197442310920451e-14,0.006548625009600073,True,True,True,1.1546319456101628e-13
74,36001,4000,188,12570,12617,47,0.25,234,2.3092638912203256e-14,0.007585291998111643,True,True,True,9.237055564881302e-14
74,36001,4000,188,20244,20432,188,1.0,375,7.105427357601002e-14,0.00798150000628084,True,True,True,1.1013412404281553e-13
74,36001,4000,188,18456,18503,47,0.25,234,5.551115123125783e-14,0.008045624999795109,True,True,True,4.707345624410664e-14
74,36001,4000,188,32519,32707,188,1.0,375,4.8405723873656825e-14,0.008449042012216523,True,True,True,8.970602038971265e-14
74,36001,4000,188,6517,6564,47,0.25,234,3.5083047578154947e-14,0.008232082996983081,True,True,True,9.14823772291129e-14
74,36001,4000,188,10828,11016,188,1.0,375,4.440892098500626e-14,0.007535333003033884,True,True,True,4.529709940470639e-14
74,36001,4000,188,23223,23411,188,1.0,375,3.375077994860476e-14,0.010202000004937872,True,True,True,3.952393967665557e-14
74,36001,4000,188,4521,4709,188,1.0,375,2.3092638912203256e-14,0.009373249995405786,True,True,True,5.684341886080802e-14
74,36001,4000,188,24302,24490,188,1.0,375,4.973799150320701e-14,0.009393332991749048,True,True,True,2.4780177909633494e-13
74,36001,4000,188,31945,32133,188,1.0,375,6.661338147750939e-14,0.007072291991789825,True,True,True,9.592326932761353e-14
74,36001,4000,188,27931,28025,94,0.5,281,9.592326932761353e-14,0.007288666005479172,True,True,True,9.14823772291129e-14
74,36001,4000,188,14556,14744,188,1.0,375,4.529709940470639e-14,0.007628332998137921,True,True,True,7.37188088351104e-14
74,36001,4000,188,11569,11616,47,0.25,234,3.019806626980426e-14,0.007236834004288539,True,True,True,6.306066779870889e-14
86,80000,20000,276,53206,53275,69,0.25,344,2.3714363805993344e-13,0.03719108400400728,True,True,True,3.4861002973229915e-13
86,80000,20000,276,67861,68137,276,1.0,551,8.43769498715119e-14,0.035651250000228174,True,True,True,1.5631940186722204e-13
86,80000,20000,276,59227,59296,69,0.25,344,1.5631940186722204e-13,0.03018641599919647,True,True,True,6.212808045802376e-13
86,80000,20000,276,60549,60618,69,0.25,344,2.0872192862952943e-13,0.02968212500854861,True,True,True,1.723066134218243e-13
86,80000,20000,276,23237,23513,276,1.0,551,1.318944953254686e-13,0.04055687499931082,True,True,True,3.0375701953744283e-13
86,80000,20000,276,74959,75097,138,0.5,413,1.9584334154387761e-13,0.04006308400130365,True,True,True,3.5216274341109965e-13
86,80000,20000,276,51603,51879,276,1.0,551,2.0694557179012918e-13,0.04391937500622589,True,True,True,2.7622348852673895e-13
86,80000,20000,276,63923,64061,138,0.5,413,1.021405182655144e-13,0.03487387500354089,True,True,True,1.7141843500212417e-13
86,80000,20000,276,27049,27118,69,0.25,344,2.3936408410918375e-13,0.0366885419934988,True,True,True,5.702105454474804e-13
86,80000,20000,276,25025,25094,69,0.25,344,1.1013412404281553e-13,0.03811991600377951,True,True,True,3.2507330161024584e-13
86,80000,20000,276,66904,67042,138,0.5,413,3.97015753605956e-13,0.04167083300126251,True,True,True,2.9531932455029164e-13
86,80000,20000,276,42750,43026,276,1.0,551,1.127986593019159e-13,0.044583583003259264,True,True,True,2.7711166694643907e-13
86,80000,20000,276,30387,30456,69,0.25,344,1.8829382497642655e-13,0.03579054199508391,True,True,True,7.394085344003543e-13
86,80000,20000,276,39416,39692,276,1.0,551,2.398081733190338e-13,0.04048441699706018,True,True,True,5.058176100192213e-13
