num,rid,train_end,w,kind,length,L,op,n_A,n_B,n,c,t_op,t_patch,no_donor
32,6,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00015866599278524518,0.002863458008505404,False
32,6,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,5.2167000831104815e-05,0.002987874991958961,False
32,6,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0018818329990608618,0.0027003750001313165,False
32,6,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00021833300706930459,0.0026590420020511374,False
32,6,1000,178,normal,0.25w,45,identity,222,823,7321,44,9.459006832912564e-06,0.0021313749894034117,False
32,7,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0024538339930586517,False
32,7,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,1.7790996935218573e-05,0.0025516250025248155,False
32,7,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.7832997147925198e-05,0.0029420000064419582,False
32,7,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00016095899627543986,0.003317542010336183,False
32,7,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,3.9083999581635e-05,0.0031985829991754144,False
32,7,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,8.05000017862767e-05,0.002532541999244131,False
32,7,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,3.037499845959246e-05,0.003207625006325543,False
32,7,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.001357165994704701,0.00299070798791945,False
32,7,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0004542920069070533,0.0031367919873446226,False
32,7,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.058299676515162e-05,0.0026301250036340207,False
32,8,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0029072080069454387,False
32,8,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,1.850000990089029e-05,0.0022566249972442165,False
32,8,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.2249994799494743e-05,0.003091292004683055,False
32,8,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00015083400649018586,0.002993792004417628,False
32,8,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,6.274999759625643e-05,0.0027489999920362607,False
32,8,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00014250000822357833,0.002592874996480532,False
32,8,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,2.7125002816319466e-05,0.0027872079954249784,False
32,8,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0013112079905113205,0.002628874994115904,False
32,8,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00023799999326001853,0.0026697499997681007,False
32,8,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.5416007954627275e-05,0.0027480419958010316,False
32,9,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0025500829942757264,False
32,9,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,2.912498894147575e-05,0.0022547499975189567,False
32,9,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,4.1584004065953195e-05,0.003189374998328276,False
32,9,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00016766700719017535,0.0029148329922463745,False
32,9,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,4.541699308902025e-05,0.0029959999956190586,False
32,9,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00022133300080895424,0.0025752919900696725,False
32,9,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,2.575000689830631e-05,0.0029872080049244687,False
32,9,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0011050830071326345,0.0027282499941065907,False
32,9,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0004892919969279319,0.0031447080109501258,False
32,9,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.620799594093114e-05,0.0033958749991143122,False
32,10,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0025127499975496903,False
