series_id,content_group,domain,am,K,g,omega_len,gt_len,gt_shorter_than_g,chance,oracle_rma,oracle_rra,neg_mass_ratio,rma_relu,rra_relu,nrma_relu,nrra_relu,rma_abs,rra_abs,nrma_abs,nrra_abs
84,cg084,ECG,Random,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9207920792079208,0.0,0.2771492325540262,0.26732673267326734,-0.07081299902547215,-0.08882371425578718,0.2771492325540262,0.26732673267326734,-0.07081299902547215,-0.08882371425578718
84,cg084,ECG,FeatureAblation,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9207920792079208,0.0018981992386862428,0.9888471812556845,0.8118811881188119,1.0881307448124755,0.8185293809573689,0.9869701522890478,0.8118811881188119,1.0850741517987472,0.8185293809573689
84,cg084,ECG,KernelSHAP,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9207920792079208,0.01639015440649746,0.7676520214711705,0.7326732673267327,0.7279319454943676,0.6865507489263643,0.7550700863087981,0.7326732673267327,0.7074432605565966,0.6865507489263643
84,cg084,ECG,MPNative,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9207920792079208,0.0,0.9314076281006476,0.7425742574257426,0.994594981643116,0.7030480779302398,0.9314076281006476,0.7425742574257426,0.994594981643116,0.7030480779302398
85,cg085,ECG,Random,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9405940594059405,0.0,0.44899636985917146,0.6534653465346535,0.20902645398909128,0.5368586493611843,0.44899636985917146,0.6534653465346535,0.20902645398909128,0.5368586493611843
85,cg085,ECG,FeatureAblation,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9405940594059405,0.6180645097409415,0.9968232904362224,0.5445544554455446,1.1011192069147147,0.3611843439464612,0.8730907869177209,0.9207920792079208,0.8996306244004961,0.968059217197323
85,cg085,ECG,KernelSHAP,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9405940594059405,0.03795160019474096,0.585548343762178,0.45544554455445546,0.4313905287378196,0.21745082133441493,0.5639189057821227,0.45544554455445546,0.3961687020128079,0.21745082133441493
85,cg085,ECG,MPNative,12,27,315,101,False,0.32063492063492066,0.9347268060139348,0.9405940594059405,0.0,0.8973150028881282,0.7227722772277227,0.9390778415794955,0.6486513891705535,0.8973150028881282,0.7227722772277227,0.9390778415794955,0.6486513891705535
86,cg086,ECG,Random,12,69,801,251,False,0.31335830212234705,0.9315202956290778,0.9362549800796812,0.0,0.293007099939128,0.28286852589641437,-0.03292211814539108,-0.04894836865387988,0.293007099939128,0.28286852589641437,-0.03292211814539108,-0.04894836865387988
86,cg086,ECG,FeatureAblation,12,69,801,251,False,0.31335830212234705,0.9315202956290778,0.9362549800796812,0.5961332523043785,0.9576726669013589,0.6215139442231076,1.0423066632160982,0.4947138955874603,0.9829053976428213,0.6932270916334662,1.0831256249227557,0.6098423750738619
