num,name,variant,domain_goswami,is_medical,content_group,name_group,fit_on,max_features,seed,n_fit,window,n_estimators,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,fit_s,score_s,score_file
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1.0,2,11000,100,200,11000,2500,5399,5600,0.10513088899384515,0.03014483003849586,0.02760907947275926,8299,8099,True,True,5561,True,True,0.1649,0.0313,results/gate1/scores/004_full_mf1.0_seed2.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1,0,2500,100,200,11000,2500,5399,5600,0.017947181861380113,0.02943671765372863,0.029655727792704225,8299,8099,False,False,4168,False,False,1.4274,0.0514,results/gate1/scores/004_train_prefix_mf1_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1,1,2500,100,200,11000,2500,5399,5600,0.027170761353278117,0.027125399940172108,0.02667078693573062,8299,8099,True,True,4213,False,False,0.1054,0.0515,results/gate1/scores/004_train_prefix_mf1_seed1.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1,2,2500,100,200,11000,2500,5399,5600,0.02346001324563929,0.028646728905565265,0.028722573578479314,8299,8099,False,False,4161,False,False,0.107,0.0518,results/gate1/scores/004_train_prefix_mf1_seed2.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1.0,0,2500,100,200,11000,2500,5399,5600,0.08132782683350248,0.035304719822268245,0.03464869894363263,8299,8099,True,True,5554,True,True,0.0979,0.0412,results/gate1/scores/004_train_prefix_mf1.0_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1.0,1,2500,100,200,11000,2500,5399,5600,0.07930800150687678,0.03697896863785176,0.036719835316299625,8299,8099,True,True,5561,True,True,0.1007,0.037,results/gate1/scores/004_train_prefix_mf1.0_seed1.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,train_prefix,1.0,2,2500,100,200,11000,2500,5399,5600,0.09548994936449062,0.032765970827632496,0.03120641574510476,8299,8099,True,True,5558,True,True,0.0969,0.0362,results/gate1/scores/004_train_prefix_mf1.0_seed2.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1,0,8184,100,200,8184,4000,5390,5392,-0.038604580535374966,0.03874602633497418,0.03877955644851634,4182,3982,False,False,4801,False,False,0.1811,0.0437,results/gate1/scores/005_full_mf1_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1,1,8184,100,200,8184,4000,5390,5392,-0.024603374779015363,0.03724615457816739,0.03788638588664919,4182,3982,False,False,4784,False,False,0.1774,0.0445,results/gate1/scores/005_full_mf1_seed1.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1,2,8184,100,200,8184,4000,5390,5392,-0.030198951367628346,0.04514951725715389,0.045280318541343255,4182,3982,False,False,4792,False,False,0.1923,0.0481,results/gate1/scores/005_full_mf1_seed2.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1.0,0,8184,100,200,8184,4000,5390,5392,-0.03641016959569077,0.07445274090813592,0.0746171924635317,4182,3982,False,False,4790,False,False,0.1719,0.0392,results/gate1/scores/005_full_mf1.0_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1.0,1,8184,100,200,8184,4000,5390,5392,-0.04451510065592473,0.06962183019121002,0.06988109358680737,4182,3982,False,False,4789,False,False,0.1638,0.0353,results/gate1/scores/005_full_mf1.0_seed1.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,full,1.0,2,8184,100,200,8184,4000,5390,5392,-0.03413967112146288,0.07148745327021673,0.07180476970019692,4182,3982,False,False,4787,False,False,0.1622,0.0371,results/gate1/scores/005_full_mf1.0_seed2.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1,0,4000,100,200,8184,4000,5390,5392,-0.02696809605716316,0.06278877156485847,0.06338680010608073,4182,3982,False,False,4797,False,False,0.1197,0.0447,results/gate1/scores/005_train_prefix_mf1_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,train_prefix,1,1,4000,100,200,8184,4000,5390,5392,-0.018146240894631016,0.05780361105596802,0.05811934019997725,4182,3982,False,False,4788,False,False,0.1276,0.044,results/gate1/scores/005_train_prefix_mf1_seed1.npy
