num,name,variant,domain_goswami,is_medical,content_group,name_group,detector,fit_on,max_features,seed,n_fit,window,n_estimators,mode,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,max_support,p1_support_bw,train_max,train_p99,train_selfmatch_max,n_selfmatch,n_const_train,fit_s,score_s,score_file
12,DISTORTEDECG2,DISTORTED,ECG,True,cg011,ECG2,MatrixProfile,train_prefix,NA,0,15000,91,NA,ab_join,30000,15000,15999,16100,3.6666802854372498,2.632506787684502,2.592576601399398,14899,14717,True,True,25904,False,False,3.9524386128176037,True,1.1228725713517405,2.3487565883373604e-06,1.9369721330121563e-05,14910,0,0.0,3.0741,results/gate1/MatrixProfile/scores/012_train_prefix_ab_join_seed0.npy
13,DISTORTEDECG3,DISTORTED,ECG,True,cg013,ECG3,MatrixProfile,full,NA,0,30000,166,NA,self_join,30000,15000,15999,16100,13.373226693337507,3.2046702826107865,2.8366461233192934,14899,14567,True,True,16104,True,True,14.067614014731031,True,3.913391190562054,3.22988899957868,3.913391190562054,14835,0,0.0001,4.4265,results/gate1/MatrixProfile/scores/013_full_self_join_seed0.npy
13,DISTORTEDECG3,DISTORTED,ECG,True,cg013,ECG3,MatrixProfile,train_prefix,NA,0,15000,166,NA,ab_join,30000,15000,15999,16100,13.429573287428369,3.4600388737663064,2.9063652947071428,14899,14567,True,True,16105,True,True,15.342478401944138,True,2.8265856282058954,8.368564297019823e-07,9.975990774223833e-07,14835,0,0.0001,3.052,results/gate1/MatrixProfile/scores/013_train_prefix_ab_join_seed0.npy
14,DISTORTEDECG3,DISTORTED,ECG,True,cg013,ECG3,MatrixProfile,full,NA,0,30000,166,NA,self_join,30000,8000,16999,17100,13.337562954532464,2.851876552833804,2.6930577270867664,21899,21567,True,True,16992,True,True,13.77347486689858,True,4.106038608901561,3.446409165193222,4.106038608901561,7835,0,0.0001,2.222,results/gate1/MatrixProfile/scores/014_full_self_join_seed0.npy
14,DISTORTEDECG3,DISTORTED,ECG,True,cg013,ECG3,MatrixProfile,train_prefix,NA,0,8000,166,NA,ab_join,30000,8000,16999,17100,13.337562954532464,3.4166168120377445,3.184477111209129,21899,21567,True,True,16990,True,True,14.007414107441864,True,2.0794481760205494,1.843467697753718,9.975990774223833e-07,7835,0,0.0001,2.3506,results/gate1/MatrixProfile/scores/014_train_prefix_ab_join_seed0.npy
15,DISTORTEDECG4,DISTORTED,ECG,True,cg015,ECG4,MatrixProfile,full,NA,0,200000,125,NA,self_join,200000,5000,16799,17100,6.35327283046192,7.240066583936119,7.23822676245905,194699,194449,False,False,17161,True,True,11.703770643651877,True,10.009365278598713,6.719561144924432,10.009365278598713,4876,0,0.0001,115.7032,results/gate1/MatrixProfile/scores/015_full_self_join_seed0.npy
15,DISTORTEDECG4,DISTORTED,ECG,True,cg015,ECG4,MatrixProfile,train_prefix,NA,0,5000,125,NA,ab_join,200000,5000,16799,17100,8.192175860572497,9.166607940678142,9.166381554169288,194699,194449,False,False,115296,False,False,12.747035115122697,True,4.579059920085147,3.839523977261908,8.65679237143863e-07,4876,0,0.0,6.2704,results/gate1/MatrixProfile/scores/015_train_prefix_ab_join_seed0.npy
16,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,full,NA,0,30000,166,NA,self_join,30000,5000,16899,17100,15.020669484982832,3.213474009394286,3.0764418621393492,24799,24467,True,True,17106,True,True,15.458959021070058,True,3.565511144517887,2.230737860585745,3.565511144517887,4835,0,0.0001,2.5916,results/gate1/MatrixProfile/scores/016_full_self_join_seed0.npy
16,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,train_prefix,NA,0,5000,166,NA,ab_join,30000,5000,16899,17100,15.393315530894064,3.667017427791907,3.288418204813639,24799,24467,True,True,17106,True,True,15.81162350303557,True,2.141894246485088,1.7879604507029485,1.0689441224611375e-06,4835,0,0.0,1.1682,results/gate1/MatrixProfile/scores/016_train_prefix_ab_join_seed0.npy
17,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,full,NA,0,30000,166,NA,self_join,30000,5000,16999,17100,14.570577330996334,3.1343058284118475,3.021219013734593,24899,24567,True,True,17107,True,True,15.69352941740047,True,3.2320602696065186,2.3836491506938313,3.2320602696065186,4835,0,0.0,2.5607,results/gate1/MatrixProfile/scores/017_full_self_join_seed0.npy
17,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,train_prefix,NA,0,5000,166,NA,ab_join,30000,5000,16999,17100,14.865242442867382,3.483867194342602,3.2660821148631634,24899,24567,True,True,17107,True,True,15.884505234614101,True,2.1669414428911282,2.032574818606487,2.1550603139151245e-06,4835,0,0.0,1.2415,results/gate1/MatrixProfile/scores/017_train_prefix_ab_join_seed0.npy
18,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,full,NA,0,30000,166,NA,self_join,30000,8000,16999,17100,11.360846687791401,2.8117518096672214,2.6573326067249443,21899,21567,True,True,17098,True,True,11.360846687791401,True,4.128144355301024,3.3529127339038034,4.128144355301024,7835,0,0.0001,2.1367,results/gate1/MatrixProfile/scores/018_full_self_join_seed0.npy
18,DISTORTEDECG4,DISTORTED,ECG,True,cg013,ECG4,MatrixProfile,train_prefix,NA,0,8000,166,NA,ab_join,30000,8000,16999,17100,11.436567015905716,3.338914066272066,3.1765295956882005,21899,21567,True,True,17099,True,True,11.436567015905716,True,2.054359144976637,1.5440603001204642,9.78950721362641e-07,7835,0,0.0,1.6309,results/gate1/MatrixProfile/scores/018_train_prefix_ab_join_seed0.npy
19,DISTORTEDGP711MarkerLFM5z1,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z1,MatrixProfile,full,NA,0,12000,218,NA,self_join,12000,5000,6167,6212,4.66555494234454,4.472378057300874,2.2328081128937196,6955,6519,True,True,6249,True,True,5.082097356905596,True,2.29681666192554,2.06128512289111,2.29681666192554,4783,0,0.0,0.5414,results/gate1/MatrixProfile/scores/019_full_self_join_seed0.npy
19,DISTORTEDGP711MarkerLFM5z1,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z1,MatrixProfile,train_prefix,NA,0,5000,218,NA,ab_join,12000,5000,6167,6212,5.093011231137585,5.013335966295721,2.584684451308619,6955,6519,True,True,6284,True,True,5.377695839492479,True,2.0230110283204055,1.8173185898485171,1.5557269020245298e-06,4783,0,0.0,0.3149,results/gate1/MatrixProfile/scores/019_train_prefix_ab_join_seed0.npy
20,DISTORTEDGP711MarkerLFM5z2,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z2,MatrixProfile,full,NA,0,12000,218,NA,self_join,12000,5000,7174,7388,14.170660732897275,11.723079252406487,2.1832860124128213,6786,6350,True,True,7332,True,True,14.170660732897275,True,2.391204310234278,2.166881779130577,2.391204310234278,4783,0,0.0,0.5702,results/gate1/MatrixProfile/scores/020_full_self_join_seed0.npy
20,DISTORTEDGP711MarkerLFM5z2,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z2,MatrixProfile,train_prefix,NA,0,5000,218,NA,ab_join,12000,5000,7174,7388,15.859961727943372,12.11762015200393,2.3546339083157024,6786,6350,True,True,7345,True,True,15.859961727943372,True,1.5780438720035637,1.4615893464780025,1.1218506231736368e-06,4783,0,0.0,0.3559,results/gate1/MatrixProfile/scores/020_train_prefix_ab_join_seed0.npy
21,DISTORTEDGP711MarkerLFM5z3,DISTORTED,Gait,False,cg019,GP711MarkerLFM5z3,MatrixProfile,full,NA,0,12000,218,NA,self_join,12000,5000,5947,5993,4.336963746576351,4.246100861662583,2.18940644633261,6954,6518,True,True,6027,True,True,4.438852647061738,True,2.3420377176527207,2.1264124272481197,2.3420377176527207,4783,0,0.0,0.3422,results/gate1/MatrixProfile/scores/021_full_self_join_seed0.npy
