file,distorted,length,train_end,anomaly_ratio,detector_hit,detector_dist,trivial_hit,trivial_dist,AUROC,verdict,train_contaminated
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt,True,11388,3500,0.000965929048120829,False,5409,False,5209,0.11024040070631413,impossible,False
066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,True,9998,3700,0.002600520104020804,False,1642,False,1027,0.9231014521193093,impossible,False
068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.txt,True,9998,1300,0.005101020204040808,False,262,False,1490,0.6187139595053935,impossible,False
076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.txt,True,195000,48000,0.006056410256410257,False,2734,False,6919,0.6027350878354237,impossible,False
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,True,200000,100000,0.000765,False,24208,False,24234,0.6497530764553426,impossible,False
083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.txt,True,195000,38000,0.0005179487179487179,False,93618,False,93645,0.6750624526757738,impossible,False
084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.txt,True,40000,12000,0.002525,True,6,True,0,0.8615284482676018,trivial,False
087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,True,60000,17000,0.006183333333333333,False,30128,False,1802,0.5533856044620928,impossible,False
091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.txt,True,129489,40000,0.002865108233131772,False,28922,False,54583,0.238677403332533,impossible,False
110_UCR_Anomaly_2sddb40_35000_56600_56900.txt,False,80001,35000,0.0037624529693378833,False,14316,False,10197,0.052648962815967634,impossible,False
130_UCR_Anomaly_GP711MarkerLFM5z4_4000_6527_6645.txt,False,12000,4000,0.009916666666666667,False,3870,False,3861,0.7373045906600173,impossible,False
139_UCR_Anomaly_InternalBleeding20_2700_5759_5919.txt,False,7500,2700,0.021466666666666665,False,441,False,1538,0.6200361772121052,impossible,False
168_UCR_Anomaly_gait2_22000_46500_46800.txt,False,65000,22000,0.004630769230769231,False,8355,False,13718,0.7152974320202788,impossible,False
172_UCR_Anomaly_gaitHunt3_23400_38400_39200.txt,False,64000,23400,0.012515625,False,21295,False,16915,0.6671356901764701,impossible,False
175_UCR_Anomaly_insectEPG3_5200_7000_7050.txt,False,9998,5200,0.005101020204040808,False,643,False,368,0.8442855549635064,impossible,False
181_UCR_Anomaly_park3m_60000_72150_72495.txt,False,90000,60000,0.0038444444444444446,False,4846,False,11398,0.9223990291106953,impossible,False
182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.txt,False,36001,4000,0.011138579483903226,False,16676,False,16725,0.5033770794532656,impossible,False
202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,False,41790,10411,0.0007418042593921991,False,26638,False,17946,0.2726067825492803,impossible,False
203_UCR_Anomaly_CHARISfive_10500_10995_11028.txt,False,41612,10500,0.0008170719984619821,False,422,False,658,0.5699463967323205,impossible,False
205_UCR_Anomaly_CHARISfive_9812_28995_29085.txt,False,39870,9812,0.0022824178580386255,False,6631,False,1941,0.30503957283414684,impossible,False
206_UCR_Anomaly_CHARISten_25130_29080_29140.txt,False,42000,25130,0.0014523809523809524,False,3638,False,3162,0.45366602005756085,impossible,False
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,False,39870,3165,0.001529972410333584,False,20073,False,20068,0.5947597710179109,impossible,False
214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.txt,False,299690,34211,0.0021722446528079013,False,70688,False,127048,0.6382365337574001,impossible,False
217_UCR_Anomaly_STAFFIIIDatabase_38211_150720_151370.txt,False,299690,38211,0.0021722446528079013,False,109357,False,102048,0.6781040996300638,impossible,False
218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370.txt,False,299940,41117,0.0021704340868173634,False,36058,False,35231,0.808163280945867,impossible,False
219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.txt,False,299840,41612,0.000737059765208111,False,109714,False,110537,0.7255553608659852,impossible,False
222_UCR_Anomaly_mit14046longtermecg_56123_91200_91700.txt,False,211502,56123,0.002368771926506605,False,222,False,35012,0.5859084527261287,impossible,False
225_UCR_Anomaly_mit14046longtermecg_81214_143000_143300.txt,False,199999,81214,0.0015050075250376252,False,51216,False,59602,0.7335251736752715,impossible,False
242_UCR_Anomaly_tilt12744mtable_100000_104630_104890.txt,False,286667,100000,0.000910464057599933,False,82615,False,82259,0.3827949316580547,impossible,False
